epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.38,0.9959,0.8973,0.009755282581475769,98.03
1,0.525,0.9916,0.9015,0.009045084971874737,98.57
2,0.415,1.0,0.911,0.007938926261462366,99.47
3,0.435,0.9999,0.9163,0.006545084971874737,98.62
4,0.385,0.9998,0.916,0.005,97.9
5,0.48,0.9719,0.9228,0.003454915028125263,97.89
6,0.435,0.999,0.9292,0.0020610737385376348,97.87
7,0.475,0.998,0.9355,0.0009549150281252633,97.18
8,0.4,0.9979,0.9356,0.00024471741852423234,94.96
9,0.41,0.9989,0.9356,0.0,95.53
