epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.1912,0.9352,0.0,0.0
0,0.52,0.9802,0.8986,0.009755282581475769,105.78
1,0.515,0.308,0.9071,0.009045084971874737,102.37
2,0.395,0.9597,0.9027,0.007938926261462366,109.27
3,0.38,0.2496,0.9065,0.006545084971874737,110.87
4,0.495,0.8347,0.9197,0.005,106.33
5,0.485,0.9617,0.9238,0.003454915028125263,107.68
6,0.465,0.9344,0.9279,0.0020610737385376348,107.18
7,0.35,0.6474,0.9292,0.0009549150281252633,106.9
8,0.53,0.3699,0.9338,0.00024471741852423234,107.61
9,0.42,0.6216,0.9344,0.0,109.82
