epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0009,0.0009,0.0000,0.0000,0.0000,0.010000
0,100,0.0539,0.0539,0.0000,0.0000,0.0000,0.010000
0,200,0.0583,0.0583,0.7857,5.3303,1.5981,0.010000
0,300,0.0965,0.0965,0.0000,0.0000,0.0000,0.010000
1,0,0.0266,0.0266,0.0000,0.0000,0.0000,0.009755
1,100,32.2485,0.0925,0.6804,2.5371,0.6785,0.009755
1,200,0.1527,0.1527,0.0000,0.0000,0.0000,0.009755
1,300,0.1323,0.1323,0.0000,0.0000,0.0000,0.009755
2,0,0.1927,0.1927,0.0000,0.0000,0.0000,0.009045
2,100,0.1480,0.1480,0.0000,0.0000,0.0000,0.009045
2,200,0.1134,0.1115,2.2990,0.0001,0.0001,0.009045
2,300,0.1742,0.1742,0.0000,0.0000,0.0000,0.009045
3,0,59.6767,0.1034,0.0184,3.7777,2.1796,0.007939
3,100,0.0827,0.0827,0.0000,0.0000,0.0000,0.007939
3,200,0.0984,0.0984,0.0000,0.0000,0.0000,0.007939
3,300,78.1353,0.1828,0.0097,5.5518,2.2435,0.007939
4,0,0.1588,0.1588,0.0000,0.0000,0.0000,0.006545
4,100,0.1275,0.1266,2.3040,0.0000,0.0000,0.006545
4,200,85.7195,0.0921,0.0011,6.2706,2.2922,0.006545
4,300,0.0627,0.0627,0.0000,0.0000,0.0000,0.006545
5,0,0.0873,0.0873,0.0000,0.0000,0.0000,0.005000
5,100,34.5816,0.0425,0.1965,2.3366,1.1173,0.005000
5,200,0.0365,0.0365,0.0000,0.0000,0.0000,0.005000
5,300,0.1330,0.1330,0.0000,0.0000,0.0000,0.005000
6,0,0.0745,0.0745,0.0000,0.0000,0.0000,0.003455
6,100,0.0491,0.0491,0.0000,0.0000,0.0000,0.003455
6,200,0.0236,0.0236,0.0000,0.0000,0.0000,0.003455
6,300,0.0601,0.0601,0.0000,0.0000,0.0000,0.003455
7,0,0.0158,0.0158,0.0000,0.0000,0.0000,0.002061
7,100,0.0272,0.0260,2.2912,0.0001,0.0001,0.002061
7,200,0.0435,0.0433,2.2973,0.0000,0.0000,0.002061
7,300,0.0425,0.0425,0.0000,0.0000,0.0000,0.002061
8,0,9.4361,0.0734,1.5791,0.6930,0.2433,0.000955
8,100,26.2369,0.0328,1.1570,2.0153,0.6051,0.000955
8,200,0.0530,0.0530,0.0000,0.0000,0.0000,0.000955
8,300,0.0169,0.0169,0.0000,0.0000,0.0000,0.000955
9,0,0.0561,0.0561,0.0000,0.0000,0.0000,0.000245
9,100,0.0700,0.0700,0.0000,0.0000,0.0000,0.000245
9,200,0.0568,0.0568,0.0000,0.0000,0.0000,0.000245
9,300,0.0545,0.0545,0.0000,0.0000,0.0000,0.000245
