epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.1912,0.9352,0.0,0.0
0,0.825,0.8742,0.9344,0.0009755282581475768,85.55
1,0.61,0.0346,0.9319,0.0009045084971874736,94.58
2,0.56,0.0674,0.9315,0.0007938926261462366,96.45
3,0.57,0.7549,0.9321,0.0006545084971874737,99.95
4,0.55,0.7626,0.9323,0.0005,100.12
5,0.58,0.8328,0.9312,0.00034549150281252633,99.29
6,0.675,0.6694,0.9314,0.0002061073738537635,101.63
7,0.585,0.812,0.9319,9.549150281252634e-05,105.06
8,0.575,0.7418,0.9314,2.4471741852423235e-05,100.48
9,0.54,0.7946,0.9321,0.0,97.95
