epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.1361,0.1361,0.0000,0.0000,0.0000,0.001000
0,100,0.0008,0.0008,0.0000,0.0000,0.0000,0.001000
0,200,0.0844,0.0844,0.1651,5.4249,1.8695,0.001000
0,300,0.0009,0.0009,0.0000,0.0000,0.0000,0.001000
1,0,75.7765,0.0030,0.0895,6.2942,1.2832,0.000976
1,100,11.3850,0.0039,0.8681,0.5835,0.5546,0.000976
1,200,0.1547,0.1547,0.0000,0.0000,0.0000,0.000976
1,300,0.1952,0.1952,0.0000,0.0000,0.0000,0.000976
2,0,0.3909,0.0232,1.8955,0.0180,0.0188,0.000905
2,100,1.4076,0.0309,1.4910,0.0630,0.0747,0.000905
2,200,0.0102,0.0102,0.0000,0.0000,0.0000,0.000905
2,300,0.2145,0.0056,2.2599,0.0105,0.0104,0.000905
3,0,0.8346,0.0456,1.7220,0.0377,0.0412,0.000794
3,100,58.2424,0.0622,0.0172,3.6344,2.1836,0.000794
3,200,0.0108,0.0108,0.0000,0.0000,0.0000,0.000794
3,300,0.2103,0.0604,2.0527,0.0074,0.0076,0.000794
4,0,0.3111,0.1224,2.0460,0.0112,0.0076,0.000655
4,100,0.2320,0.0182,2.0350,0.0106,0.0108,0.000655
4,200,0.0354,0.0354,0.0000,0.0000,0.0000,0.000655
4,300,0.0740,0.0740,0.0000,0.0000,0.0000,0.000655
5,0,0.0722,0.0331,2.2306,0.0020,0.0020,0.000500
5,100,0.0060,0.0060,0.0000,0.0000,0.0000,0.000500
5,200,0.0147,0.0147,0.0000,0.0000,0.0000,0.000500
5,300,0.3280,0.0052,2.2455,0.0153,0.0170,0.000500
6,0,0.4998,0.0258,2.1060,0.0225,0.0249,0.000345
6,100,0.3301,0.0062,1.8626,0.0154,0.0170,0.000345
6,200,0.0081,0.0081,0.0000,0.0000,0.0000,0.000345
6,300,0.0276,0.0276,0.0000,0.0000,0.0000,0.000345
7,0,0.0238,0.0238,0.0000,0.0000,0.0000,0.000206
7,100,0.0057,0.0057,0.0000,0.0000,0.0000,0.000206
7,200,0.0555,0.0433,2.2378,0.0006,0.0006,0.000206
7,300,0.0477,0.0087,2.2144,0.0020,0.0020,0.000206
8,0,0.0086,0.0086,0.0000,0.0000,0.0000,0.000095
8,100,0.0051,0.0051,0.0000,0.0000,0.0000,0.000095
8,200,0.0154,0.0154,0.0000,0.0000,0.0000,0.000095
8,300,0.0493,0.0493,0.0000,0.0000,0.0000,0.000095
9,0,0.0064,0.0064,0.0000,0.0000,0.0000,0.000024
9,100,0.0071,0.0071,0.0000,0.0000,0.0000,0.000024
9,200,0.0598,0.0240,2.3301,0.0018,0.0018,0.000024
9,300,56.9661,0.0054,0.0183,4.1974,1.4987,0.000024
