epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0052,0.0052,0.0000,0.0000,0.0000,0.020000
0,100,0.1998,0.1998,0.0000,0.0000,0.0000,0.020000
0,200,0.1815,0.1815,0.0000,0.0000,0.0000,0.020000
0,300,0.1182,0.1182,0.0000,0.0000,0.0000,0.020000
1,0,0.1547,0.1547,0.0000,0.0000,0.0000,0.018090
1,100,0.1487,0.1487,0.0000,0.0000,0.0000,0.018090
1,200,0.1573,0.1573,0.0000,0.0000,0.0000,0.018090
1,300,0.1817,0.1817,0.0000,0.0000,0.0000,0.018090
2,0,0.0896,0.0896,0.0000,0.0000,0.0000,0.013090
2,100,0.1259,0.1259,0.0000,0.0000,0.0000,0.013090
2,200,0.0824,0.0824,0.0000,0.0000,0.0000,0.013090
2,300,0.0691,0.0691,0.0000,0.0000,0.0000,0.013090
3,0,0.1002,0.1002,0.0000,0.0000,0.0000,0.006910
3,100,0.0577,0.0577,0.0000,0.0000,0.0000,0.006910
3,200,0.0742,0.0742,0.0000,0.0000,0.0000,0.006910
3,300,0.0633,0.0633,0.0000,0.0000,0.0000,0.006910
4,0,0.0179,0.0179,0.0000,0.0000,0.0000,0.001910
4,100,0.0240,0.0240,0.0000,0.0000,0.0000,0.001910
4,200,0.0262,0.0262,0.0000,0.0000,0.0000,0.001910
4,300,0.0214,0.0214,0.0000,0.0000,0.0000,0.001910
