epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0178,0.9351,0.0,0.0
0,0.14,0.8277,0.8759,0.019510565162951538,64.07
1,0.1,0.8069,0.8691,0.018090169943749474,64.3
2,0.04,0.9978,0.8677,0.015877852522924733,64.35
3,0.06,0.9602,0.8839,0.013090169943749475,64.12
4,0.06,0.9731,0.9052,0.01,64.48
5,0.04,0.996,0.8915,0.006909830056250526,64.17
6,0.06,0.9949,0.9178,0.0041221474770752695,64.34
7,0.02,0.9863,0.9294,0.0019098300562505265,64.57
8,0.08,0.961,0.9322,0.0004894348370484647,63.85
9,0.1,0.9591,0.9327,0.0,64.33
