epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0178,0.9351,0.0,0.0
0,0.12,0.4562,0.8471,0.019510565162951538,68.04
1,0.1,0.1703,0.8746,0.018090169943749474,65.52
2,0.12,0.0,0.8838,0.015877852522924733,66.46
3,0.2,0.0113,0.8778,0.013090169943749475,67.03
4,0.1,0.0189,0.9055,0.01,74.85
5,0.04,0.004,0.9151,0.006909830056250526,80.71
6,0.1,0.014,0.9209,0.0041221474770752695,68.34
7,0.12,0.0051,0.9279,0.0019098300562505265,68.37
8,0.1,0.003,0.9329,0.0004894348370484647,67.81
9,0.06,0.0034,0.9336,0.0,67.82
