epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0014,0.0014,0.0000,0.0000,0.0000,0.020000
0,100,0.0992,0.0992,0.0000,0.0000,0.0000,0.020000
0,200,0.1501,0.1501,0.0000,0.0000,0.0000,0.020000
0,300,0.1646,0.1646,0.0000,0.0000,0.0000,0.020000
1,0,0.1730,0.1730,0.0000,0.0000,0.0000,0.019511
1,100,3.5457,0.1245,1.9842,0.1709,0.1712,0.019511
1,200,0.1764,0.1764,0.0000,0.0000,0.0000,0.019511
1,300,0.1160,0.1160,0.0000,0.0000,0.0000,0.019511
2,0,0.1207,0.1207,0.0000,0.0000,0.0000,0.018090
2,100,0.1516,0.1516,0.0000,0.0000,0.0000,0.018090
2,200,0.1384,0.1384,0.0000,0.0000,0.0000,0.018090
2,300,0.2064,0.2064,0.0000,0.0000,0.0000,0.018090
3,0,0.1816,0.1816,0.0000,0.0000,0.0000,0.015878
3,100,0.1261,0.1261,0.0000,0.0000,0.0000,0.015878
3,200,0.0589,0.0589,0.0000,0.0000,0.0000,0.015878
3,300,0.0720,0.0720,0.0000,0.0000,0.0000,0.015878
4,0,0.1090,0.1090,0.0000,0.0000,0.0000,0.013090
4,100,0.0356,0.0356,0.0000,0.0000,0.0000,0.013090
4,200,0.0955,0.0955,0.0000,0.0000,0.0000,0.013090
4,300,0.0787,0.0787,0.0000,0.0000,0.0000,0.013090
5,0,0.0564,0.0564,0.0000,0.0000,0.0000,0.010000
5,100,0.0899,0.0899,0.0000,0.0000,0.0000,0.010000
5,200,0.0646,0.0646,0.0000,0.0000,0.0000,0.010000
5,300,0.1292,0.1292,0.0000,0.0000,0.0000,0.010000
6,0,0.0499,0.0499,0.0000,0.0000,0.0000,0.006910
6,100,0.0285,0.0285,0.0000,0.0000,0.0000,0.006910
6,200,0.0640,0.0640,0.0000,0.0000,0.0000,0.006910
6,300,0.0644,0.0644,0.0000,0.0000,0.0000,0.006910
7,0,0.0285,0.0285,0.0000,0.0000,0.0000,0.004122
7,100,0.0271,0.0271,0.0000,0.0000,0.0000,0.004122
7,200,0.0222,0.0222,0.0000,0.0000,0.0000,0.004122
7,300,0.0300,0.0300,0.0000,0.0000,0.0000,0.004122
8,0,0.0059,0.0057,2.2956,0.0000,0.0000,0.001910
8,100,0.0209,0.0208,2.3034,0.0000,0.0000,0.001910
8,200,0.0027,0.0027,0.0000,0.0000,0.0000,0.001910
8,300,0.0138,0.0138,0.0000,0.0000,0.0000,0.001910
9,0,0.0033,0.0033,0.0000,0.0000,0.0000,0.000489
9,100,0.0139,0.0139,0.0000,0.0000,0.0000,0.000489
9,200,0.0135,0.0135,0.0000,0.0000,0.0000,0.000489
9,300,0.0006,0.0006,0.0000,0.0000,0.0000,0.000489
