epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0178,0.9351,0.0,0.0
0,0.14,0.0524,0.8056,0.019510565162951538,42.33
1,0.28,0.6477,0.8712,0.018090169943749474,43.13
2,0.14,0.0044,0.8713,0.015877852522924733,43.7
3,0.2,0.0033,0.8756,0.013090169943749475,44.05
4,0.24,0.0372,0.8876,0.01,43.95
5,0.08,0.6509,0.9045,0.006909830056250526,44.08
6,0.14,0.1437,0.9251,0.0041221474770752695,44.14
7,0.36,0.0084,0.928,0.0019098300562505265,44.01
8,0.3,0.1197,0.9294,0.0004894348370484647,44.56
9,0.24,0.0814,0.9289,0.0,44.4
