epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0178,0.9351,0.0,0.0
0,0.32,0.0461,0.8694,0.058531695488854604,42.74
1,0.52,0.5668,0.8632,0.05427050983124842,43.9
2,0.7,0.0964,0.8732,0.047633557568774194,44.43
3,0.34,0.0609,0.8801,0.03927050983124842,44.7
4,0.26,0.1271,0.8938,0.03,44.66
5,0.46,0.0866,0.9075,0.02072949016875158,44.86
6,0.32,0.0551,0.9211,0.012366442431225809,45.14
7,0.52,0.0536,0.921,0.00572949016875158,44.97
8,0.42,0.2494,0.9223,0.001468304511145394,45.0
9,0.5,0.1986,0.9214,0.0,45.0
