epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0014,0.0014,0.0000,0.0000,0.0000,0.010000
0,100,0.0187,0.0187,0.0000,0.0000,0.0000,0.010000
0,200,0.0439,0.0439,0.8966,6.0030,1.6096,0.010000
0,300,0.1029,0.1029,0.0000,0.0000,0.0000,0.010000
1,0,0.0539,0.0539,0.0000,0.0000,0.0000,0.009755
1,100,49.7636,0.1047,0.1456,3.8037,1.1622,0.009755
1,200,0.1412,0.1412,0.0000,0.0000,0.0000,0.009755
1,300,0.1647,0.1647,0.0000,0.0000,0.0000,0.009755
2,0,0.1604,0.1604,0.0000,0.0000,0.0000,0.009045
2,100,0.1513,0.1513,0.0000,0.0000,0.0000,0.009045
2,200,0.8496,0.1080,1.7359,0.0357,0.0385,0.009045
2,300,0.1784,0.1784,0.0000,0.0000,0.0000,0.009045
3,0,65.7514,0.0933,0.0134,4.3531,2.2127,0.007939
3,100,0.0983,0.0983,0.0000,0.0000,0.0000,0.007939
3,200,0.0783,0.0783,0.0000,0.0000,0.0000,0.007939
3,300,78.8852,0.2047,0.0122,5.6390,2.2291,0.007939
4,0,0.0882,0.0882,0.0000,0.0000,0.0000,0.006545
4,100,0.1506,0.0791,2.1622,0.0036,0.0036,0.006545
4,200,105.7275,0.1176,0.0007,8.2646,2.2963,0.006545
4,300,0.1084,0.1084,0.0000,0.0000,0.0000,0.006545
5,0,0.0352,0.0352,0.0000,0.0000,0.0000,0.005000
5,100,38.2715,0.0513,0.6566,2.7384,1.0836,0.005000
5,200,0.0735,0.0735,0.0000,0.0000,0.0000,0.005000
5,300,0.1494,0.1494,0.0000,0.0000,0.0000,0.005000
6,0,0.0691,0.0691,0.0000,0.0000,0.0000,0.003455
6,100,0.0302,0.0302,0.0000,0.0000,0.0000,0.003455
6,200,0.0449,0.0449,0.0000,0.0000,0.0000,0.003455
6,300,0.0506,0.0506,0.0000,0.0000,0.0000,0.003455
7,0,0.0186,0.0186,0.0000,0.0000,0.0000,0.002061
7,100,0.0546,0.0373,2.2524,0.0009,0.0009,0.002061
7,200,0.0366,0.0291,2.3108,0.0004,0.0004,0.002061
7,300,0.0348,0.0348,0.0000,0.0000,0.0000,0.002061
8,0,5.5418,0.0655,2.4748,0.4316,0.1161,0.000955
8,100,15.3904,0.0240,1.1938,1.0133,0.5234,0.000955
8,200,0.0116,0.0116,0.0000,0.0000,0.0000,0.000955
8,300,0.0401,0.0401,0.0000,0.0000,0.0000,0.000955
9,0,0.0574,0.0574,0.0000,0.0000,0.0000,0.000245
9,100,0.0653,0.0653,0.0000,0.0000,0.0000,0.000245
9,200,0.0534,0.0534,0.0000,0.0000,0.0000,0.000245
9,300,0.0397,0.0397,0.0000,0.0000,0.0000,0.000245
