epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.84,0.6574,0.8942,0.029265847744427302,48.31
1,0.725,0.8614,0.9031,0.02713525491562421,50.72
2,0.665,0.7958,0.902,0.023816778784387097,50.91
3,0.675,0.6946,0.9106,0.01963525491562421,51.5
4,0.83,0.6697,0.9249,0.015,51.54
5,0.695,0.683,0.926,0.01036474508437579,51.76
6,0.75,0.6173,0.9258,0.006183221215612904,52.28
7,0.785,0.6541,0.9262,0.00286474508437579,52.21
8,0.75,0.6144,0.9254,0.000734152255572697,52.39
9,0.81,0.6353,0.9257,0.0,51.97
