epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9844,0.2554,0.9228,0.0,0.0
0,0.4132,0.9871,0.8935,0.009755282581475769,68.17
1,0.4984,0.9589,0.8992,0.009045084971874737,67.65
2,0.4468,0.9823,0.9054,0.007938926261462366,67.96
3,0.4404,0.9893,0.904,0.006545084971874737,67.86
4,0.4372,0.9924,0.9062,0.005,68.16
5,0.492,0.9772,0.9094,0.003454915028125263,68.39
6,0.5644,0.9402,0.9167,0.0020610737385376348,68.56
7,0.5708,0.9644,0.9204,0.0009549150281252633,68.48
8,0.6128,0.9502,0.9222,0.00024471741852423234,68.18
9,0.5852,0.9552,0.9229,0.0,68.05
