epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9844,0.2554,0.9228,0.0,0.0
0,0.5148,0.9522,0.8976,0.009755282581475769,72.9
1,0.5484,0.0036,0.8534,0.009045084971874737,73.2
2,0.5388,0.0963,0.8568,0.007938926261462366,73.25
3,0.5712,0.0816,0.8763,0.006545084971874737,73.0
4,0.4616,0.3091,0.887,0.005,72.8
5,0.6764,0.0858,0.9024,0.003454915028125263,73.4
6,0.53,0.5517,0.9094,0.0020610737385376348,72.86
7,0.656,0.1881,0.9123,0.0009549150281252633,73.14
8,0.672,0.2528,0.9127,0.00024471741852423234,72.89
9,0.6628,0.3402,0.9145,0.0,72.89
