epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0029,0.0043,0.0093,12.6098,0.8430,0.001000
0,100,-0.0842,0.0501,0.8949,11.9478,0.5535,0.001000
0,200,-9.9234,0.1501,67.1566,65.0967,1.5643,0.001000
0,300,-22.6402,0.3582,153.3222,136.9379,1.6594,0.001000
1,0,3800.5544,1.8005,422.8370,384.5811,1.6368,0.000905
1,100,1681.0516,0.2131,193.9864,169.7693,1.2244,0.000905
1,200,66.4575,4.1130,4.3090,5.6796,0.6195,0.000905
1,300,5.7197,1.4396,1.7476,0.3772,0.0770,0.000905
2,0,1.6247,1.4807,1.9726,0.0397,0.0043,0.000655
2,100,3.4826,1.8502,2.3617,0.1155,0.0832,0.000655
2,200,1.7926,1.5766,2.0093,0.0394,0.0123,0.000655
2,300,1.7115,1.3662,2.0065,0.0539,0.0107,0.000655
3,0,1.4565,1.4737,2.1106,0.0262,0.0037,0.000345
3,100,2.3699,1.6319,1.9564,0.0696,0.0335,0.000345
3,200,1.9570,1.8085,2.1026,0.0351,0.0113,0.000345
3,300,1.8785,1.3584,1.7784,0.0637,0.0150,0.000345
4,0,1.5941,1.5279,2.0282,0.0285,0.0086,0.000095
4,100,1.5441,1.2317,1.7956,0.0503,0.0078,0.000095
4,200,1.6876,1.6918,2.0571,0.0254,0.0050,0.000095
4,300,1.2080,1.1887,2.0489,0.0260,0.0067,0.000095
