epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9844,0.2554,0.9228,0.0,0.0
0,0.4832,0.8128,0.8895,0.009755282581475769,48.36
1,0.4132,0.9929,0.8888,0.009045084971874737,49.86
2,0.5108,0.7303,0.8982,0.007938926261462366,51.03
3,0.518,0.6946,0.894,0.006545084971874737,50.73
4,0.4408,0.5692,0.8991,0.005,51.1
5,0.4644,0.3267,0.8983,0.003454915028125263,51.52
6,0.4668,0.5542,0.9018,0.0020610737385376348,52.17
7,0.4796,0.4639,0.9048,0.0009549150281252633,59.41
8,0.5088,0.4533,0.9052,0.00024471741852423234,60.69
9,0.5096,0.4658,0.9046,0.0,59.27
