epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2749,0.9371,0.0,0.0
0,0.618,0.3683,0.8635,0.019510565162951538,85.42
1,0.334,0.1626,0.8703,0.018090169943749474,82.6
2,0.216,0.0013,0.8863,0.015877852522924733,75.17
3,0.178,0.1674,0.897,0.013090169943749475,75.52
4,0.166,0.07,0.8909,0.01,85.76
5,0.156,0.0097,0.9162,0.006909830056250526,81.67
6,0.15,0.1552,0.9199,0.0041221474770752695,80.91
7,0.188,0.0777,0.9291,0.0019098300562505265,84.51
8,0.146,0.0933,0.9337,0.0004894348370484647,81.18
9,0.148,0.1012,0.936,0.0,85.5
