epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0007,0.0007,0.0000,0.0000,0.0000,0.020000
0,100,0.2978,0.2978,0.0010,6.9074,2.2929,0.020000
0,200,0.1576,0.1576,0.3092,5.3210,0.8638,0.020000
0,300,0.1251,0.1251,0.1049,4.0376,1.8912,0.020000
1,0,48.7414,0.1960,0.2002,3.8646,0.9900,0.019511
1,100,0.3505,0.2345,2.0922,0.0086,0.0030,0.019511
1,200,0.2184,0.2132,2.3425,0.0003,0.0003,0.019511
1,300,0.8991,0.2189,1.8592,0.0428,0.0252,0.019511
2,0,0.2123,0.2083,2.2776,0.0002,0.0002,0.018090
2,100,0.1932,0.1932,0.0000,0.0000,0.0000,0.018090
2,200,0.2970,0.2922,2.3047,0.0003,0.0002,0.018090
2,300,0.1081,0.1050,2.2904,0.0002,0.0002,0.018090
3,0,0.1398,0.1366,2.3048,0.0002,0.0001,0.015878
3,100,0.2287,0.2208,2.3278,0.0004,0.0004,0.015878
3,200,0.2166,0.2153,2.2985,0.0001,0.0000,0.015878
3,300,0.1254,0.1244,2.3043,0.0000,0.0000,0.015878
4,0,0.2013,0.2013,0.0000,0.0000,0.0000,0.013090
4,100,0.1643,0.1632,2.2917,0.0001,0.0000,0.013090
4,200,0.1363,0.1299,2.2921,0.0004,0.0003,0.013090
4,300,0.1160,0.1160,0.0000,0.0000,0.0000,0.013090
5,0,0.0986,0.0986,0.0000,0.0000,0.0000,0.010000
5,100,0.0256,0.0246,2.3049,0.0001,0.0000,0.010000
5,200,0.0828,0.0828,0.0000,0.0000,0.0000,0.010000
5,300,0.1421,0.1421,0.0000,0.0000,0.0000,0.010000
6,0,0.0741,0.0741,0.0000,0.0000,0.0000,0.006910
6,100,0.1077,0.1059,2.2971,0.0001,0.0001,0.006910
6,200,0.0475,0.0475,0.0000,0.0000,0.0000,0.006910
6,300,0.0467,0.0457,2.3012,0.0000,0.0000,0.006910
7,0,0.0137,0.0135,2.3029,0.0000,0.0000,0.004122
7,100,0.0453,0.0450,2.3044,0.0000,0.0000,0.004122
7,200,0.0193,0.0185,2.2895,0.0001,0.0000,0.004122
7,300,0.0563,0.0542,2.2680,0.0001,0.0001,0.004122
8,0,0.0847,0.0588,2.2256,0.0020,0.0006,0.001910
8,100,0.0446,0.0327,2.2765,0.0008,0.0004,0.001910
8,200,0.0147,0.0147,0.0000,0.0000,0.0000,0.001910
8,300,0.0335,0.0335,0.0000,0.0000,0.0000,0.001910
9,0,0.0230,0.0230,0.0000,0.0000,0.0000,0.000489
9,100,0.0223,0.0223,0.0000,0.0000,0.0000,0.000489
9,200,0.0218,0.0218,0.0000,0.0000,0.0000,0.000489
9,300,0.0574,0.0574,0.0000,0.0000,0.0000,0.000489
