epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2749,0.9371,0.0,0.0
0,0.176,0.84,0.8999,0.009755282581475769,47.19
1,0.304,0.6917,0.902,0.009045084971874737,48.49
2,0.366,0.656,0.9018,0.007938926261462366,50.33
3,0.468,0.4948,0.9014,0.006545084971874737,50.89
4,0.286,0.6848,0.9187,0.005,52.09
5,0.51,0.445,0.9249,0.003454915028125263,51.48
6,0.476,0.2152,0.9296,0.0020610737385376348,51.84
7,0.482,0.1888,0.9289,0.0009549150281252633,51.46
8,0.518,0.189,0.9298,0.00024471741852423234,53.05
9,0.57,0.1998,0.929,0.0,52.33
