epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.606,0.6716,0.9303,0.0009755282581475768,45.21
1,0.55,0.6717,0.9323,0.0009045084971874736,47.37
2,0.466,0.7432,0.9323,0.0007938926261462366,48.13
3,0.592,0.6313,0.9316,0.0006545084971874737,48.28
4,0.596,0.6354,0.932,0.0005,48.12
5,0.564,0.6447,0.9319,0.00034549150281252633,48.49
6,0.618,0.5873,0.9321,0.0002061073738537635,48.57
7,0.646,0.5609,0.9312,9.549150281252634e-05,49.05
8,0.646,0.5689,0.9309,2.4471741852423235e-05,48.64
9,0.618,0.6031,0.9317,0.0,48.67
