epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.792,0.5847,0.9324,0.0048776412907378846,49.64
1,0.784,0.5997,0.9348,0.0045225424859373685,51.13
2,0.68,0.6786,0.9337,0.003969463130731183,52.36
3,0.744,0.6346,0.9348,0.0032725424859373687,53.08
4,0.73,0.6258,0.9346,0.0025,53.83
5,0.74,0.6161,0.9329,0.0017274575140626316,52.56
6,0.706,0.6273,0.9333,0.0010305368692688174,52.94
7,0.74,0.6144,0.9335,0.00047745751406263163,54.05
8,0.72,0.6158,0.9338,0.00012235870926211617,53.38
9,0.716,0.6389,0.9347,0.0,53.98
