epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9657,0.2982,0.9331,0.0,0.0
0,0.5029,0.7278,0.9006,0.009755282581475769,67.79
1,0.196,0.8934,0.9055,0.009045084971874737,68.7
2,0.1411,0.8849,0.9006,0.007938926261462366,68.52
3,0.2066,0.8842,0.9056,0.006545084971874737,68.69
4,0.2449,0.8571,0.9213,0.005,69.1
5,0.11,0.9331,0.9255,0.003454915028125263,68.99
6,0.2386,0.8663,0.9319,0.0020610737385376348,68.61
7,0.2323,0.8674,0.9321,0.0009549150281252633,68.78
8,0.2209,0.8823,0.9342,0.00024471741852423234,69.43
9,0.2197,0.8796,0.9344,0.0,68.54
