epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9657,0.2982,0.9331,0.0,0.0
0,0.5914,0.4748,0.9298,0.0048776412907378846,49.41
1,0.3674,0.6114,0.9294,0.0045225424859373685,51.53
2,0.2223,0.6917,0.9293,0.003969463130731183,51.97
3,0.222,0.606,0.9289,0.0032725424859373687,51.88
4,0.1617,0.6022,0.9276,0.0025,52.75
5,0.1563,0.5946,0.9285,0.0017274575140626316,52.54
6,0.1677,0.5079,0.9288,0.0010305368692688174,52.11
7,0.1631,0.4911,0.9284,0.00047745751406263163,52.4
8,0.1677,0.5058,0.9284,0.00012235870926211617,52.72
9,0.1514,0.49,0.9277,0.0,52.42
