epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.36,0.7292,0.8426,0.029265847744427302,66.3
1,0.255,0.7712,0.8456,0.02713525491562421,66.34
2,0.58,0.35,0.8546,0.023816778784387097,66.7
3,0.465,0.473,0.8649,0.01963525491562421,66.24
4,0.275,0.7861,0.9012,0.015,66.13
5,0.43,0.5354,0.8931,0.01036474508437579,66.6
6,0.385,0.6859,0.9149,0.006183221215612904,66.36
7,0.46,0.5936,0.9271,0.00286474508437579,66.55
8,0.51,0.5539,0.931,0.000734152255572697,66.57
9,0.53,0.5408,0.9335,0.0,66.24
