epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0016,0.0016,0.0000,0.0000,0.0000,0.001000
0,100,0.0007,0.0007,0.0000,0.0000,0.0000,0.001000
0,200,0.0011,0.0011,0.0000,11.7504,2.3024,0.001000
0,300,0.0006,0.0006,0.0000,0.0000,0.0000,0.001000
1,0,0.0022,0.0022,0.0000,0.0000,0.0000,0.000905
1,100,26.6209,0.0078,0.7998,1.8172,0.8561,0.000905
1,200,0.0074,0.0074,0.0000,0.0000,0.0000,0.000905
1,300,0.0085,0.0085,0.0000,0.0000,0.0000,0.000905
2,0,0.0111,0.0111,0.0000,0.0000,0.0000,0.000655
2,100,0.0125,0.0125,0.0000,0.0000,0.0000,0.000655
2,200,-0.1071,0.0193,2.2769,0.0108,0.0107,0.000655
2,300,0.0211,0.0211,0.0000,0.0000,0.0000,0.000655
3,0,0.0228,0.0165,2.1005,0.0161,0.0161,0.000345
3,100,0.0090,0.0090,0.0000,0.0000,0.0000,0.000345
3,200,0.0060,0.0060,0.0000,0.0000,0.0000,0.000345
3,300,-0.2635,0.0031,2.3039,0.0040,0.0039,0.000345
4,0,0.0101,0.0101,0.0000,0.0000,0.0000,0.000095
4,100,-0.1701,0.0037,2.2318,0.0080,0.0081,0.000095
4,200,-0.1919,0.0052,2.1453,0.0062,0.0062,0.000095
4,300,0.0055,0.0055,0.0000,0.0000,0.0000,0.000095
