epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.17,0.8581,0.9336,0.0009755282581475768,44.87
1,0.33,0.7297,0.9333,0.0009045084971874736,47.38
2,0.25,0.736,0.9333,0.0007938926261462366,52.32
3,0.33,0.6566,0.9342,0.0006545084971874737,57.17
4,0.34,0.6351,0.9335,0.0005,56.64
5,0.415,0.5643,0.9337,0.00034549150281252633,58.02
6,0.4,0.5893,0.933,0.0002061073738537635,53.64
7,0.425,0.5313,0.9331,9.549150281252634e-05,51.86
8,0.405,0.5847,0.9334,2.4471741852423235e-05,52.8
9,0.385,0.5806,0.9346,0.0,51.57
