epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.1833,0.9364,0.0,0.0
0,0.53,0.6103,0.9339,0.0048776412907378846,48.28
1,0.515,0.6166,0.9333,0.0045225424859373685,57.95
2,0.45,0.6291,0.9329,0.003969463130731183,52.04
3,0.525,0.5426,0.9332,0.0032725424859373687,56.0
4,0.45,0.6081,0.9338,0.0025,52.87
5,0.54,0.5242,0.9336,0.0017274575140626316,52.67
6,0.51,0.5466,0.9355,0.0010305368692688174,52.07
7,0.57,0.501,0.9335,0.00047745751406263163,52.58
8,0.545,0.5461,0.9341,0.00012235870926211617,51.97
9,0.515,0.5486,0.9337,0.0,53.46
