epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2569,0.9026,0.0,0.0
0,0.99,0.3203,0.8945,0.0048776412907378846,66.0
1,0.845,0.6919,0.895,0.0045225424859373685,60.57
2,0.86,0.725,0.898,0.003969463130731183,60.34
3,0.8,0.7584,0.8966,0.0032725424859373687,61.32
4,0.83,0.6901,0.8972,0.0025,59.93
5,0.825,0.7532,0.9003,0.0017274575140626316,60.62
6,0.785,0.7809,0.9036,0.0010305368692688174,60.5
7,0.785,0.7927,0.9031,0.00047745751406263163,60.73
8,0.77,0.8067,0.905,0.00012235870926211617,60.27
9,0.765,0.8036,0.9048,0.0,60.44
