epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2569,0.9026,0.0,0.0
0,0.965,0.4072,0.8946,0.0048776412907378846,74.37
1,0.625,0.0004,0.8944,0.0045225424859373685,76.84
2,0.415,0.9979,0.8993,0.003969463130731183,73.32
3,0.39,1.0,0.8972,0.0032725424859373687,77.85
4,0.51,0.0,0.8973,0.0025,76.69
5,0.47,0.9747,0.9029,0.0017274575140626316,72.92
6,0.34,1.0,0.9017,0.0010305368692688174,71.08
7,0.495,0.2268,0.9022,0.00047745751406263163,74.07
8,0.465,0.002,0.9037,0.00012235870926211617,75.75
9,0.46,0.8662,0.9047,0.0,79.06
