epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2569,0.9026,0.0,0.0
0,0.615,0.9274,0.8955,0.0048776412907378846,53.15
1,0.66,0.4972,0.9015,0.0045225424859373685,53.61
2,0.495,0.1593,0.8976,0.003969463130731183,52.54
3,0.455,0.1939,0.8953,0.0032725424859373687,56.93
4,0.4,0.9999,0.9012,0.0025,51.76
5,0.47,0.0001,0.9008,0.0017274575140626316,57.23
6,0.36,1.0,0.9022,0.0010305368692688174,58.43
7,0.43,0.1677,0.904,0.00047745751406263163,58.57
8,0.395,0.9964,0.9039,0.00012235870926211617,57.92
9,0.41,0.9971,0.904,0.0,52.27
