epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0007,0.0007,0.0000,0.0000,0.0000,0.005000
0,100,0.0096,0.0096,0.0000,0.0000,0.0000,0.005000
0,200,0.0418,0.0418,0.0000,0.0000,0.0000,0.005000
0,300,0.1334,0.1334,0.0000,0.0000,0.0000,0.005000
1,0,0.0199,0.0199,0.0000,0.0000,0.0000,0.004878
1,100,64.8345,0.0283,0.0133,4.2708,2.2098,0.004878
1,200,0.0467,0.0467,0.0000,0.0000,0.0000,0.004878
1,300,0.2260,0.0381,2.3844,0.0100,0.0088,0.004878
2,0,0.0204,0.0204,0.0000,0.0000,0.0000,0.004523
2,100,0.0796,0.0796,0.0000,0.0000,0.0000,0.004523
2,200,0.0635,0.0340,2.2887,0.0015,0.0015,0.004523
2,300,0.0908,0.0651,2.2531,0.0013,0.0013,0.004523
3,0,0.0549,0.0549,0.0000,0.0000,0.0000,0.003969
3,100,0.0122,0.0122,0.0000,0.0000,0.0000,0.003969
3,200,0.0633,0.0590,2.3340,0.0002,0.0002,0.003969
3,300,30.6452,0.0347,1.1557,2.4392,0.6219,0.003969
4,0,0.0979,0.0979,0.0000,0.0000,0.0000,0.003273
4,100,45.3680,0.0151,1.6780,2.8613,1.6740,0.003273
4,200,0.0999,0.0980,2.2840,0.0001,0.0001,0.003273
4,300,0.0066,0.0066,0.0000,0.0000,0.0000,0.003273
5,0,0.0613,0.0563,2.2831,0.0002,0.0002,0.002500
5,100,0.0311,0.0265,2.2908,0.0002,0.0002,0.002500
5,200,32.1104,0.0559,1.0811,2.4971,0.7084,0.002500
5,300,0.0441,0.0441,0.0000,0.0000,0.0000,0.002500
6,0,0.0130,0.0130,0.0000,0.0000,0.0000,0.001727
6,100,0.0313,0.0294,2.2982,0.0001,0.0001,0.001727
6,200,33.3163,0.0246,0.2812,2.3496,0.9795,0.001727
6,300,0.0284,0.0284,0.0000,0.0000,0.0000,0.001727
7,0,0.0365,0.0365,0.0000,0.0000,0.0000,0.001031
7,100,0.0257,0.0257,0.0000,0.0000,0.0000,0.001031
7,200,68.9822,0.0225,0.0103,4.6668,2.2291,0.001031
7,300,18.4291,0.0075,1.7907,1.4732,0.3690,0.001031
8,0,0.0086,0.0086,0.0000,0.0000,0.0000,0.000477
8,100,0.0070,0.0070,0.0000,0.0000,0.0000,0.000477
8,200,58.4779,0.0284,0.0170,3.6607,2.1843,0.000477
8,300,0.0162,0.0153,2.3015,0.0000,0.0000,0.000477
9,0,0.0251,0.0246,2.2993,0.0000,0.0000,0.000122
9,100,70.6192,0.0240,0.0081,4.8139,2.2457,0.000122
9,200,25.9847,0.0239,1.5454,2.2854,0.3107,0.000122
9,300,0.0054,0.0054,0.0000,0.0000,0.0000,0.000122
