epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0096,0.0096,0.0527,10.0101,0.7883,0.010000
0,100,0.1265,0.1265,0.9415,7.7743,0.4314,0.010000
0,200,0.1522,0.1522,2.6851,7.1372,1.4072,0.010000
0,300,0.0938,0.0938,2.9852,6.8934,1.7005,0.010000
1,0,76.2016,0.1404,2.4596,6.0034,1.6027,0.009755
1,100,1.8623,1.7054,2.2153,0.0096,0.0061,0.009755
1,200,1.8295,1.0839,1.9946,0.0611,0.0135,0.009755
1,300,1.1341,1.1182,2.2597,0.0010,0.0006,0.009755
2,0,0.9297,0.7579,2.1576,0.0133,0.0039,0.009045
2,100,5.5544,0.8357,1.8197,0.3665,0.1054,0.009045
2,200,3.4380,0.9154,1.9204,0.1993,0.0529,0.009045
2,300,1.1981,1.0538,2.2086,0.0120,0.0025,0.009045
3,0,0.9444,0.9337,2.3004,0.0009,0.0002,0.007939
3,100,1.3588,1.2397,2.0790,0.0100,0.0019,0.007939
3,200,15.7724,0.6738,1.2235,1.3468,0.1631,0.007939
3,300,1.2259,1.0181,2.0143,0.0173,0.0035,0.007939
4,0,1.0004,0.9631,2.2171,0.0034,0.0003,0.006545
4,100,0.9168,0.8055,2.0836,0.0094,0.0017,0.006545
4,200,1.4220,0.9555,1.9013,0.0354,0.0112,0.006545
4,300,1.5370,0.7429,1.9472,0.0531,0.0263,0.006545
5,0,1.0193,1.0145,2.2682,0.0003,0.0002,0.005000
5,100,1.0781,1.0169,2.1261,0.0053,0.0008,0.005000
5,200,0.9458,0.9444,2.2895,0.0001,0.0001,0.005000
5,300,2.5711,1.0194,1.8382,0.1172,0.0380,0.005000
6,0,0.9304,0.9277,2.2956,0.0002,0.0001,0.003455
6,100,1.1034,0.9617,2.0852,0.0112,0.0029,0.003455
6,200,1.3804,1.1000,1.9900,0.0171,0.0109,0.003455
6,300,0.8979,0.8958,2.2967,0.0001,0.0001,0.003455
7,0,0.8489,0.8023,2.1803,0.0034,0.0013,0.002061
7,100,1.0179,0.9801,2.1935,0.0029,0.0009,0.002061
7,200,0.8019,0.7905,2.2550,0.0010,0.0001,0.002061
7,300,0.9732,0.9403,2.2318,0.0028,0.0005,0.002061
8,0,1.4736,0.8143,1.9544,0.0595,0.0065,0.000955
8,100,1.0433,0.9313,2.1473,0.0098,0.0014,0.000955
8,200,1.3106,1.0726,2.0982,0.0204,0.0034,0.000955
8,300,1.0762,0.8560,2.0503,0.0183,0.0037,0.000955
9,0,13.8794,0.7627,1.6212,1.1287,0.1830,0.000245
9,100,0.9404,0.8552,2.1699,0.0062,0.0023,0.000245
9,200,0.9105,0.8780,2.1728,0.0021,0.0012,0.000245
9,300,0.8752,0.7981,2.0987,0.0059,0.0018,0.000245
