epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9868,0.2583,0.8949,0.0,0.0
0,0.3988,1.0,0.8753,0.009755282581475769,52.35
1,0.3916,0.9869,0.8769,0.009045084971874737,53.96
2,0.3924,0.7719,0.8754,0.007938926261462366,55.15
3,0.3968,0.7353,0.8761,0.006545084971874737,55.17
4,0.3692,0.6963,0.8712,0.005,54.91
5,0.398,0.5632,0.8833,0.003454915028125263,56.12
6,0.3776,0.4822,0.878,0.0020610737385376348,56.12
7,0.3752,0.5827,0.885,0.0009549150281252633,54.92
8,0.3716,0.6279,0.8848,0.00024471741852423234,55.49
9,0.402,0.5837,0.8844,0.0,56.01
