epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9868,0.2583,0.8949,0.0,0.0
0,0.9404,0.4044,0.8929,0.029265847744427302,135.23
1,0.7968,0.5312,0.8928,0.02713525491562421,135.26
2,0.554,0.7949,0.8914,0.023816778784387097,135.06
3,0.4296,0.97,0.8867,0.01963525491562421,135.1
4,0.4116,0.9882,0.8856,0.015,135.67
5,0.4828,0.9208,0.8879,0.01036474508437579,137.73
6,0.412,0.9179,0.8852,0.006183221215612904,135.22
7,0.4696,0.8283,0.8858,0.00286474508437579,135.14
8,0.4236,0.9201,0.8858,0.000734152255572697,135.94
9,0.4424,0.8447,0.886,0.0,135.36
