epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9868,0.2583,0.8949,0.0,0.0
0,0.936,0.4098,0.8948,0.029265847744427302,143.11
1,0.6,0.3769,0.8735,0.02713525491562421,137.63
2,0.502,0.9379,0.8766,0.023816778784387097,141.36
3,0.6612,0.0571,0.871,0.01963525491562421,138.49
4,0.4804,0.3346,0.8711,0.015,140.49
5,0.5032,0.9449,0.8735,0.01036474508437579,138.12
6,0.4708,0.8832,0.8712,0.006183221215612904,140.56
7,0.4408,0.6312,0.8738,0.00286474508437579,138.82
8,0.4668,0.9284,0.8742,0.000734152255572697,141.14
9,0.4828,0.936,0.8759,0.0,138.28
