epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.5672,0.5672,0.0533,10.7468,1.4900,0.030000
0,100,0.3973,0.3973,0.0942,3.0551,0.6864,0.030000
0,200,0.3734,0.3734,0.1642,2.5976,1.1745,0.030000
0,300,0.1726,0.1726,0.1584,2.1047,0.5733,0.030000
0,400,0.4097,0.4097,0.1277,2.0700,0.8577,0.030000
1,0,33.1974,0.2574,0.2702,2.5645,0.7295,0.029266
1,100,2.3686,1.5584,1.8760,0.0548,0.0262,0.029266
1,200,1.7845,1.4177,1.9502,0.0292,0.0075,0.029266
1,300,1.6272,1.5619,2.1669,0.0050,0.0015,0.029266
1,400,1.6152,1.5789,2.2179,0.0026,0.0010,0.029266
2,0,1.5392,1.4025,2.0883,0.0111,0.0025,0.027135
2,100,1.3345,1.3195,2.2598,0.0011,0.0004,0.027135
2,200,1.3397,1.2922,2.1656,0.0035,0.0012,0.027135
2,300,1.3503,1.3279,2.2219,0.0014,0.0009,0.027135
2,400,1.1048,1.0779,2.3330,0.0014,0.0013,0.027135
3,0,1.3817,1.1548,1.9859,0.0193,0.0033,0.023817
3,100,1.3020,1.1875,2.1437,0.0085,0.0030,0.023817
3,200,1.6164,1.6062,2.2604,0.0008,0.0003,0.023817
3,300,1.0676,1.0473,2.2562,0.0017,0.0003,0.023817
3,400,1.5650,1.3347,2.0354,0.0166,0.0065,0.023817
4,0,1.1363,1.0919,2.1551,0.0034,0.0010,0.019635
4,100,1.3665,1.2167,2.1252,0.0125,0.0024,0.019635
4,200,1.2021,1.1419,2.2205,0.0045,0.0015,0.019635
4,300,1.2825,1.2496,2.1767,0.0025,0.0007,0.019635
4,400,1.3943,1.2633,2.1100,0.0109,0.0022,0.019635
5,0,1.0979,1.0784,2.2322,0.0015,0.0005,0.015000
5,100,1.1452,1.0637,2.1604,0.0063,0.0018,0.015000
5,200,1.1445,1.1142,2.1979,0.0023,0.0008,0.015000
5,300,1.3240,1.1578,2.1214,0.0132,0.0034,0.015000
5,400,1.1811,1.1581,2.2407,0.0020,0.0003,0.015000
6,0,1.4769,1.3244,2.0753,0.0111,0.0042,0.010365
6,100,1.1933,1.1812,2.3340,0.0006,0.0006,0.010365
6,200,1.2708,1.1212,2.0140,0.0127,0.0022,0.010365
6,300,1.2537,1.1646,2.2077,0.0074,0.0015,0.010365
6,400,1.2514,1.0342,2.0286,0.0162,0.0055,0.010365
7,0,1.0090,1.0074,2.2968,0.0001,0.0001,0.006183
7,100,1.1437,1.1002,2.1818,0.0031,0.0013,0.006183
7,200,1.0894,1.0664,2.2187,0.0020,0.0003,0.006183
7,300,1.2660,1.2262,2.1965,0.0034,0.0006,0.006183
7,400,1.3227,1.2508,2.1799,0.0054,0.0018,0.006183
8,0,1.4913,1.1683,2.1056,0.0255,0.0068,0.002865
8,100,1.2636,1.1816,2.1888,0.0065,0.0017,0.002865
8,200,1.5754,1.0765,1.9526,0.0346,0.0153,0.002865
8,300,1.0619,1.0211,2.1604,0.0034,0.0007,0.002865
8,400,1.3006,1.1631,2.0154,0.0108,0.0029,0.002865
9,0,1.4055,1.0705,1.9533,0.0199,0.0136,0.000734
9,100,1.2101,1.1786,2.2027,0.0027,0.0005,0.000734
9,200,1.0903,1.0672,2.2041,0.0021,0.0002,0.000734
9,300,1.0247,1.0056,2.2694,0.0016,0.0003,0.000734
9,400,5.4639,1.0761,1.4805,0.3173,0.1215,0.000734
