epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2518,0.9788,0.0,0.0
0,0.7755,0.8031,0.9699,0.0048776412907378846,79.73
1,0.6429,0.8912,0.9752,0.0045225424859373685,81.06
2,0.7347,0.9291,0.9747,0.003969463130731183,80.6
3,0.7347,0.9074,0.9772,0.0032725424859373687,80.75
4,0.7143,0.9288,0.9765,0.0025,81.1
5,0.6122,0.9474,0.9753,0.0017274575140626316,81.34
6,0.7449,0.8962,0.9769,0.0010305368692688174,88.95
7,0.7041,0.8478,0.9762,0.00047745751406263163,81.61
8,0.8163,0.8742,0.9782,0.00012235870926211617,82.03
9,0.7755,0.8806,0.9782,0.0,81.58
