epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2518,0.9788,0.0,0.0
0,0.5102,1.0,0.9158,0.048776412907378844,311.82
1,0.8571,0.0006,0.8359,0.04522542485937369,96.05
2,0.9286,0.0014,0.9458,0.03969463130731184,98.67
3,0.9592,0.0002,0.9684,0.03272542485937369,99.89
4,0.9592,0.0002,0.9641,0.025000000000000005,100.79
5,0.7347,0.0011,0.9799,0.01727457514062632,98.47
6,0.4184,0.6181,0.9655,0.010305368692688176,103.76
7,0.3163,0.4484,0.986,0.0047745751406263175,103.5
8,0.4796,0.109,0.9867,0.001223587092621162,101.82
9,0.4184,0.0166,0.9878,0.0,101.47
