epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0055,0.0055,0.0000,12.3251,3.7605,0.050000
0,100,0.1454,0.1454,0.0058,9.3560,3.7141,0.050000
0,200,0.1282,0.1282,0.0072,8.7893,3.7086,0.050000
0,300,0.1368,0.1368,0.0000,0.0000,0.0000,0.050000
1,0,0.1369,0.1369,0.0000,0.0000,0.0000,0.048776
1,100,0.1790,0.1790,0.0000,0.0000,0.0000,0.048776
1,200,0.1977,0.1977,0.0000,0.0000,0.0000,0.048776
1,300,0.5650,0.5650,0.0000,0.0000,0.0000,0.048776
2,0,0.4496,0.4496,0.0000,0.0000,0.0000,0.045225
2,100,0.2988,0.2988,0.0000,0.0000,0.0000,0.045225
2,200,87.0277,0.1789,0.0115,5.0201,3.6648,0.045225
2,300,73.6998,0.1392,0.1434,4.2685,3.0876,0.045225
3,0,0.3072,0.3072,0.0000,0.0000,0.0000,0.039695
3,100,0.2835,0.2835,0.0000,0.0000,0.0000,0.039695
3,200,0.1853,0.1853,0.0000,0.0000,0.0000,0.039695
3,300,0.2317,0.2317,0.0000,0.0000,0.0000,0.039695
4,0,0.0763,0.0763,0.0000,0.0000,0.0000,0.032725
4,100,73.1367,0.1119,0.0396,3.8255,3.4770,0.032725
4,200,0.0539,0.0539,0.0000,0.0000,0.0000,0.032725
4,300,47.3332,0.0488,0.3860,2.3721,2.3563,0.032725
5,0,0.0920,0.0920,0.0000,0.0000,0.0000,0.025000
5,100,0.1538,0.1538,0.0000,0.0000,0.0000,0.025000
5,200,0.1815,0.1815,0.0000,0.0000,0.0000,0.025000
5,300,0.0163,0.0163,0.0000,0.0000,0.0000,0.025000
6,0,0.0732,0.0732,0.0000,0.0000,0.0000,0.017275
6,100,7.7373,0.0765,1.6280,0.3286,0.4375,0.017275
6,200,0.0856,0.0856,0.0000,0.0000,0.0000,0.017275
6,300,0.0281,0.0281,0.0000,0.0000,0.0000,0.017275
7,0,0.0276,0.0276,0.0000,0.0000,0.0000,0.010305
7,100,0.0333,0.0333,0.0000,0.0000,0.0000,0.010305
7,200,0.0486,0.0486,0.0000,0.0000,0.0000,0.010305
7,300,0.0169,0.0169,0.0000,0.0000,0.0000,0.010305
8,0,65.5011,0.0182,0.0753,3.2786,3.2697,0.004775
8,100,0.0440,0.0423,3.7625,0.0001,0.0001,0.004775
8,200,0.0168,0.0168,0.0000,0.0000,0.0000,0.004775
8,300,0.0886,0.0886,0.0000,0.0000,0.0000,0.004775
9,0,0.0502,0.0405,3.7578,0.0006,0.0003,0.001224
9,100,0.0929,0.0929,0.0000,0.0000,0.0000,0.001224
9,200,0.0400,0.0400,0.0000,0.0000,0.0000,0.001224
9,300,0.1216,0.1180,3.7585,0.0002,0.0002,0.001224
