epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2518,0.9788,0.0,0.0
0,0.8469,0.7553,0.9789,0.0009755282581475768,49.86
1,0.6939,0.8091,0.9732,0.0009045084971874736,50.79
2,0.8163,0.6468,0.9738,0.0007938926261462366,50.66
3,0.8163,0.5737,0.9755,0.0006545084971874737,51.04
4,0.8571,0.52,0.9751,0.0005,52.84
5,0.8163,0.5371,0.9747,0.00034549150281252633,52.7
6,0.898,0.5216,0.9744,0.0002061073738537635,52.99
7,0.8061,0.478,0.9746,9.549150281252634e-05,52.76
8,0.8265,0.4732,0.976,2.4471741852423235e-05,52.87
9,0.8367,0.4685,0.9748,0.0,53.07
