epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2518,0.9788,0.0,0.0
0,0.8776,0.6506,0.9795,0.019510565162951538,51.08
1,0.8265,0.7627,0.9776,0.018090169943749474,52.63
2,0.8265,0.6812,0.9778,0.015877852522924733,52.18
3,0.7959,0.6683,0.9778,0.013090169943749475,53.46
4,0.7755,0.6725,0.9772,0.01,52.71
5,0.7449,0.6821,0.9777,0.006909830056250526,53.65
6,0.7653,0.6769,0.9774,0.0041221474770752695,53.85
7,0.7959,0.6571,0.9775,0.0019098300562505265,53.68
8,0.7551,0.6506,0.9778,0.0004894348370484647,54.58
9,0.7653,0.6573,0.9778,0.0,53.88
