epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2472,0.9907,0.0,0.0
0,0.1515,0.1149,0.5664,0.058531695488854604,82.12
1,0.2632,0.7168,0.9213,0.05427050983124842,83.08
2,0.0781,0.9137,0.962,0.047633557568774194,82.54
3,0.1627,0.8384,0.9818,0.03927050983124842,82.52
4,0.051,0.941,0.9875,0.03,82.72
5,0.0303,0.9568,0.9884,0.02072949016875158,83.23
6,0.051,0.9468,0.9901,0.012366442431225809,82.64
7,0.051,0.9456,0.9908,0.00572949016875158,85.63
8,0.0431,0.946,0.9911,0.001468304511145394,83.63
9,0.059,0.948,0.9911,0.0,82.97
