epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2472,0.9907,0.0,0.0
0,0.3413,0.2543,0.6234,0.058531695488854604,92.97
1,0.0431,0.5381,0.7479,0.05427050983124842,95.83
2,0.2648,0.1624,0.903,0.047633557568774194,108.16
3,0.0478,0.6256,0.9444,0.03927050983124842,105.34
4,0.0159,0.8408,0.9547,0.03,141.16
5,0.0,0.9604,0.973,0.02072949016875158,138.03
6,0.0016,0.9521,0.9761,0.012366442431225809,110.66
7,0.0,0.9495,0.9768,0.00572949016875158,105.21
8,0.0,0.936,0.9781,0.001468304511145394,122.96
9,0.0,0.9415,0.9774,0.0,87.28
