epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0010,0.0010,0.0031,8.5746,3.7358,0.060000
0,100,0.0021,0.0021,0.0073,7.5578,2.1069,0.060000
0,200,0.0014,0.0014,0.0137,6.8407,2.9860,0.060000
0,300,0.1452,0.1452,5.6167,2.6054,1.9038,0.060000
1,0,85.9556,0.1893,3.1905,5.2677,3.3089,0.058532
1,100,3.0387,2.9493,3.7124,0.0045,0.0045,0.058532
1,200,1.0130,1.0130,0.0000,0.0000,0.0000,0.058532
1,300,6.2535,0.3253,2.7873,0.3860,0.2069,0.058532
2,0,0.6301,0.6257,3.7648,0.0002,0.0002,0.054271
2,100,0.2069,0.2055,3.7515,0.0001,0.0001,0.054271
2,200,0.1320,0.1111,3.6703,0.0014,0.0007,0.054271
2,300,0.0778,0.0763,3.7457,0.0001,0.0001,0.054271
3,0,0.1363,0.0865,3.5709,0.0025,0.0025,0.047634
3,100,0.0526,0.0521,3.7621,0.0000,0.0000,0.047634
3,200,0.0357,0.0352,3.7594,0.0000,0.0000,0.047634
3,300,0.0551,0.0548,3.7659,0.0000,0.0000,0.047634
4,0,4.2225,0.0674,2.9415,0.2060,0.2095,0.039271
4,100,0.0890,0.0884,3.7663,0.0000,0.0000,0.039271
4,200,0.0136,0.0097,3.7490,0.0003,0.0001,0.039271
4,300,0.0685,0.0633,3.7299,0.0004,0.0002,0.039271
5,0,0.0709,0.0709,0.0000,0.0000,0.0000,0.030000
5,100,0.0376,0.0374,3.7615,0.0000,0.0000,0.030000
5,200,0.1060,0.0928,3.7449,0.0010,0.0003,0.030000
5,300,0.0038,0.0038,0.0000,0.0000,0.0000,0.030000
6,0,0.0333,0.0331,3.7619,0.0000,0.0000,0.020729
6,100,0.0315,0.0314,3.7604,0.0000,0.0000,0.020729
6,200,0.0036,0.0036,0.0000,0.0000,0.0000,0.020729
6,300,0.0017,0.0017,0.0000,0.0000,0.0000,0.020729
7,0,0.0309,0.0308,3.7611,0.0000,0.0000,0.012366
7,100,0.0099,0.0023,3.7555,0.0006,0.0002,0.012366
7,200,0.0370,0.0369,3.7621,0.0000,0.0000,0.012366
7,300,0.0313,0.0312,3.7599,0.0000,0.0000,0.012366
8,0,0.0024,0.0024,3.7607,0.0000,0.0000,0.005729
8,100,0.0012,0.0011,3.7587,0.0000,0.0000,0.005729
8,200,0.0015,0.0014,3.7616,0.0000,0.0000,0.005729
8,300,0.1187,0.1187,0.0000,0.0000,0.0000,0.005729
9,0,0.0009,0.0008,3.7615,0.0000,0.0000,0.001468
9,100,0.0657,0.0655,3.7614,0.0000,0.0000,0.001468
9,200,0.0010,0.0009,3.7617,0.0000,0.0000,0.001468
9,300,0.0312,0.0311,3.7622,0.0000,0.0000,0.001468
