epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0005,0.0010,0.0031,8.5746,3.7358,0.001000
0,100,0.0012,0.0017,0.0029,8.3412,2.1310,0.001000
0,200,-0.2960,0.0014,1.9828,7.3871,2.9928,0.001000
0,300,-19.6229,0.3806,133.3566,117.8684,3.7612,0.001000
1,0,1190.7629,0.3125,126.3899,117.1797,3.7612,0.000905
1,100,3.8474,2.2130,4.3481,0.1146,0.1141,0.000905
1,200,0.1532,0.1532,0.0000,0.0000,0.0000,0.000905
1,300,-0.4404,0.0511,3.6409,0.0036,0.0019,0.000905
2,0,-0.4323,0.0903,3.6926,0.0017,0.0015,0.000655
2,100,-0.4740,0.0709,3.7097,0.0007,0.0005,0.000655
2,200,-0.4924,0.0370,3.6530,0.0011,0.0007,0.000655
2,300,1.2009,0.0043,3.1108,0.1179,0.0484,0.000655
3,0,-0.5155,0.0433,3.7827,0.0004,0.0004,0.000345
3,100,-0.5027,0.0554,3.7453,0.0002,0.0002,0.000345
3,200,-0.5532,0.0043,3.7447,0.0002,0.0002,0.000345
3,300,-0.5558,0.0060,3.7849,0.0003,0.0003,0.000345
4,0,-0.5231,0.0395,3.7659,0.0001,0.0001,0.000095
4,100,-0.4956,0.0637,3.7536,0.0002,0.0002,0.000095
4,200,-0.5541,0.0049,3.7452,0.0001,0.0001,0.000095
4,300,-0.4932,0.0627,3.7298,0.0002,0.0001,0.000095
