epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2472,0.9907,0.0,0.0
0,0.2249,0.8753,0.9842,0.0009755282581475768,49.42
1,0.2759,0.7818,0.9856,0.0009045084971874736,50.66
2,0.4083,0.6226,0.9872,0.0007938926261462366,51.56
3,0.3589,0.5301,0.9854,0.0006545084971874737,51.79
4,0.3892,0.5368,0.9854,0.0005,51.6
5,0.236,0.6975,0.9829,0.00034549150281252633,52.23
6,0.3429,0.556,0.9846,0.0002061073738537635,52.03
7,0.3206,0.5904,0.9833,9.549150281252634e-05,52.07
8,0.3094,0.5421,0.9831,2.4471741852423235e-05,52.04
9,0.3317,0.5069,0.9832,0.0,51.92
