epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.2025,0.2025,0.0017,8.7766,3.0533,0.001000
0,100,0.1738,0.1738,1.2770,3.6036,2.2485,0.001000
0,200,0.1567,0.1567,2.1003,2.8741,1.6877,0.001000
0,300,0.1384,0.1384,3.6399,1.8542,1.3056,0.001000
1,0,41.1170,0.0292,0.8565,2.3975,1.7113,0.000976
1,100,0.2839,0.1151,3.5490,0.0084,0.0085,0.000976
1,200,0.1286,0.1093,3.7572,0.0010,0.0009,0.000976
1,300,0.0900,0.0801,3.7060,0.0007,0.0003,0.000976
2,0,0.0869,0.0781,3.7566,0.0005,0.0004,0.000905
2,100,0.1531,0.1513,3.7591,0.0001,0.0001,0.000905
2,200,0.1206,0.1206,0.0000,0.0000,0.0000,0.000905
2,300,0.0609,0.0609,0.0000,0.0000,0.0000,0.000905
3,0,0.0928,0.0920,3.7523,0.0000,0.0000,0.000794
3,100,0.0331,0.0331,0.0000,0.0000,0.0000,0.000794
3,200,0.0348,0.0336,3.7423,0.0001,0.0000,0.000794
3,300,0.0641,0.0625,3.7406,0.0001,0.0001,0.000794
4,0,0.0622,0.0615,3.7616,0.0000,0.0000,0.000655
4,100,0.0966,0.0947,3.7349,0.0001,0.0000,0.000655
4,200,0.0935,0.0915,3.7262,0.0002,0.0000,0.000655
4,300,0.0318,0.0318,0.0000,0.0000,0.0000,0.000655
5,0,0.1338,0.1323,3.7651,0.0001,0.0001,0.000500
5,100,0.0908,0.0908,0.0000,0.0000,0.0000,0.000500
5,200,0.1214,0.1210,3.7569,0.0000,0.0000,0.000500
5,300,0.0329,0.0322,3.7657,0.0000,0.0000,0.000500
6,0,0.0344,0.0333,3.7468,0.0001,0.0000,0.000345
6,100,0.0916,0.0911,3.7507,0.0000,0.0000,0.000345
6,200,0.1236,0.1229,3.7505,0.0001,0.0000,0.000345
6,300,0.0624,0.0619,3.7607,0.0000,0.0000,0.000345
7,0,0.1489,0.1489,0.0000,0.0000,0.0000,0.000206
7,100,0.0912,0.0907,3.7428,0.0000,0.0000,0.000206
7,200,0.1188,0.1188,0.0000,0.0000,0.0000,0.000206
7,300,0.1247,0.1236,3.7492,0.0001,0.0000,0.000206
8,0,0.0622,0.0618,3.7584,0.0000,0.0000,0.000095
8,100,0.0936,0.0925,3.7519,0.0001,0.0000,0.000095
8,200,0.1838,0.1830,3.7457,0.0001,0.0000,0.000095
8,300,0.0635,0.0630,3.7491,0.0000,0.0000,0.000095
9,0,0.0916,0.0913,3.7437,0.0000,0.0000,0.000024
9,100,0.1220,0.1212,3.7590,0.0000,0.0000,0.000024
9,200,0.0632,0.0632,0.0000,0.0000,0.0000,0.000024
9,300,0.1220,0.1209,3.7611,0.0001,0.0000,0.000024
