epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2472,0.9907,0.0,0.0
0,0.5694,0.7701,0.9869,0.0048776412907378846,50.39
1,0.3987,0.8255,0.9879,0.0045225424859373685,51.46
2,0.3876,0.8084,0.988,0.003969463130731183,51.75
3,0.4019,0.7778,0.9892,0.0032725424859373687,52.52
4,0.4179,0.738,0.9887,0.0025,52.26
5,0.4211,0.6867,0.9895,0.0017274575140626316,53.07
6,0.429,0.6874,0.9895,0.0010305368692688174,52.54
7,0.4434,0.6835,0.9896,0.00047745751406263163,53.0
8,0.4226,0.6802,0.9896,0.00012235870926211617,52.65
9,0.4258,0.6734,0.9904,0.0,52.99
