epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0456,0.9876,0.0,0.0
0,0.1538,0.4833,0.6285,0.019510565162951538,82.31
1,0.2051,0.5082,0.9415,0.018090169943749474,83.77
2,0.3077,0.57,0.9678,0.015877852522924733,83.74
3,0.3333,0.4688,0.9718,0.013090169943749475,83.62
4,0.2564,0.5538,0.9868,0.01,83.17
5,0.2821,0.5492,0.9861,0.006909830056250526,82.62
6,0.3077,0.5479,0.9871,0.0041221474770752695,85.93
7,0.3077,0.5505,0.9877,0.0019098300562505265,83.37
8,0.3077,0.551,0.9876,0.0004894348370484647,83.26
9,0.2821,0.5465,0.9876,0.0,83.74
