epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0456,0.9876,0.0,0.0
0,0.2821,0.3281,0.8011,0.019510565162951538,51.19
1,0.1538,0.5607,0.9454,0.018090169943749474,52.27
2,0.359,0.3657,0.9781,0.015877852522924733,53.53
3,0.2821,0.2822,0.9743,0.013090169943749475,52.81
4,0.1795,0.1631,0.9798,0.01,53.8
5,0.3077,0.2597,0.981,0.006909830056250526,53.51
6,0.3846,0.1623,0.9814,0.0041221474770752695,53.6
7,0.2564,0.0893,0.9808,0.0019098300562505265,54.42
8,0.3333,0.1006,0.981,0.0004894348370484647,53.84
9,0.359,0.096,0.9808,0.0,53.73
